hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
1.X.3.3 	S	*	G	*	I-----	INSTALLATION	
1.X.3.3.1 	S	*	G	*	IR----	RAW MATERIAL PRODUCTION/STORAGE	
1.X.3.3.1.1 	S	*	G	*	IRM---	MINE	
1.X.3.3.1.2 	S	*	G	*	IRP---	PETROLEUM/GAS/OIL	
1.X.3.3.1.3 	S	*	G	*	IRN---	CBRN	
1.X.3.3.1.3.1 	S	*	G	*	IRNB--	BIOLOGICAL	
1.X.3.3.1.3.2 	S	*	G	*	IRNC--	CHEMICAL	
1.X.3.3.1.3.3 	S	*	G	*	IRNN--	NUCLEAR	
1.X.3.3.2 	S	*	G	*	IP----	PROCESSING FACILITY	
1.X.3.3.2.1 	S	*	G	*	IPD---	DECON	
1.X.3.3.3 	S	*	G	*	IE----	EQUIPMENT MANUFACTURE	
1.X.3.3.4 	S	*	G	*	IU----	SERVICE, RESEARCH, UTILITY FACILITY	
1.X.3.3.4.1 	S	*	G	*	IUR---	TECHNOLOGICAL RESEARCH FACILITY	
1.X.3.3.4.2 	S	*	G	*	IUT---	TELECOMMUNICATIONS FACILITY	
1.X.3.3.4.3 	S	*	G	*	IUE---	ELECTRIC POWER FACILITY	
1.X.3.3.4.4 	S	*	G	*	IUP---	PUBLIC WATER SERVICES	
1.X.3.3.5 	S	*	G	*	IM----	MILITARY MATERIEL FACILITY	N/A
1.X.3.3.5.1 	S	*	G	*	IMF---	ATOMIC ENERGY PRODUCTION	
1.X.3.3.5.2 	S	*	G	*	IMA---	AIRCRAFT PRODUCTION & ASSEMBLY	
1.X.3.3.5.3 	S	*	G	*	IME---	AMMUNITION AND EXPLOSIVES PRODUCTION	
1.X.3.3.5.4 	S	*	G	*	IMG---	ARMAMENT PRODUCTION	
1.X.3.3.5.5 	S	*	G	*	IMV---	MILITARY VEHICLE PRODUCTION	
1.X.3.3.5.6 	S	*	G	*	IMN---	ENGINEERING EQUIPMENT PRODUCTION	
1.X.3.3.5.6.1 	S	*	G	*	IMNB--	BRIDGE	
1.X.3.3.5.7 	S	*	G	*	IMC---	CHEMICAL & BIOLOGICAL WARFARE PRODUCTION	
1.X.3.3.5.8 	S	*	G	*	IMS---	SHIP CONSTRUCTION	
1.X.3.3.5.9 	S	*	G	*	IMM---	MISSILE & SPACE SYSTEM PRODUCTION	
1.X.3.3.6 	S	*	G	*	IG----	GOVERNMENT LEADERSHIP	
1.X.3.3.7 	S	*	G	*	IB----	MILITARY BASE/FACILITY	
1.X.3.3.7.1 	S	*	G	*	IBA---	AIRPORT/AIRBASE	
1.X.3.3.7.2 	S	*	G	*	IBN---	SEAPORT/NAVAL BASE	
1.X.3.3.8 	S	*	G	*	IT----	TRANSPORT FACILITY	
1.X.3.3.9 	S	*	G	*	IX----	MEDICAL FACILITY	
1.X.3.3.9.1 	S	*	G	*	IXH---	HOSPITAL	
1.X.3.4 	S	*	G	*	IR----	SEA SURFACE INSTALLATION	
1.X.3.4.1 	S	*	G	*	IRR---	SEA SURFACE INSTALLATION	
