hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
1.X.3 	S	*	G	*	------	GROUND TRACK	
1.X.3.1 	S	*	G	*	U-----	UNIT	
1.X.3.1.1 	S	*	G	*	UC----	COMBAT	
1.X.3.1.1.1 	S	*	G	*	UCD---	AIR DEFENCE	
1.X.3.1.1.1.1 	S	*	G	*	UCDS--	SHORT RANGE	
1.X.3.1.1.1.1.1 	S	*	G	*	UCDS--	MISSILE	
1.X.3.1.1.1.1.2 	S	*	G	*	UCDS--	GUN	
1.X.3.1.1.1.2 	S	*	G	*	UCDM--	AIR DEFENCE MISSILE	
1.X.3.1.1.1.2.1 	S	*	G	*	UCDML-	AIR DEFENCE MISSILE LIGHT	
1.X.3.1.1.1.2.1.1 	S	*	G	*	UCDMLA	AIR DEFENCE MISSILE MOTORIZED	
1.X.3.1.1.1.2.2 	S	*	G	*	UCDMM-	AIR DEFENCE MISSILE MEDIUM	
1.X.3.1.1.1.2.3 	S	*	G	*	UCDMH-	AIR DEFENCE MISSILE HEAVY	
1.X.3.1.1.1.2.4 	S	*	G	*	UCDH--	H/MAD	
1.X.3.1.1.1.3 	S	*	G	*	UCDG--	GUN UNIT	
1.X.3.1.1.1.4 	S	*	G	*	UCDC--	COMPOSITE	
1.X.3.1.1.1.5 	S	*	G	*	UCDT--	TARGETING UNIT	
1.X.3.1.1.1.6 	S	*	G	*	UCDO--	THEATRE MISSILE DEFENCE UNIT	
1.X.3.1.1.2 	S	*	G	*	UCA---	ARMOUR	
1.X.3.1.1.2.1 	S	*	G	*	UCAT--	ARMOUR TRACK	
1.X.3.1.1.2.1.1 	S	*	G	*	UCATA-	ARMOUR TRACK AIRBORNE	
1.X.3.1.1.2.1.2 	S	*	G	*	UCATW-	ARMOUR TRACK AMPHIBIOUS	
1.X.3.1.1.2.1.2.1 	S	*	G	*	UCATWR	ARMOUR TRACK AMPHIBIOUS RECOVERY	
1.X.3.1.1.2.1.3 	S	*	G	*	UCATL-	ARMOUR TRACK, LIGHT	
1.X.3.1.1.2.1.4 	S	*	G	*	UCATM-	ARMOUR TRACK, MEDIUM	
1.X.3.1.1.2.1.5 	S	*	G	*	UCATH-	ARMOUR TRACK, HEAVY	
1.X.3.1.1.2.1.6 	S	*	G	*	UCATR-	ARMOUR TRACK, RECOVERY	
1.X.3.1.1.2.2 	S	*	G	*	UCAW--	ARMOUR, WHEELED	
1.X.3.1.1.2.2.1 	S	*	G	*	UCAWS-	ARMOUR, WHEELED AIR ASSAULT	
1.X.3.1.1.2.2.2 	S	*	G	*	UCAWA-	ARMOUR, WHEELED AIRBORNE	
1.X.3.1.1.2.2.3 	S	*	G	*	UCAWA-	ARMOUR, WHEELED AMPHIBIOUS	
1.X.3.1.1.2.2.4 	S	*	G	*	UCAWL-	ARMOUR, WHEELED LIGHT	
1.X.3.1.1.2.2.5 	S	*	G	*	UCAWM-	ARMOUR, WHEELED MEDIUM	
1.X.3.1.1.2.2.6 	S	*	G	*	UCAWH-	ARMOUR, WHEELED HEAVY	
1.X.3.1.1.2.2.7 	S	*	G	*	UCAWR-	ARMOUR, WHEELED RECOVERY	
1.X.3.1.1.3 	S	*	G	*	UCAA--	ANTI ARMOUR	
