hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
1.X.4 	S	*	S	*	------	SEA SURFACE TRACK	
1.X.4.1 	S	*	S	*	C-----	COMBATANT	
1.X.4.1.1 	S	*	S	*	CL----	LINE	
1.X.4.1.1.1 	S	*	S	*	CLCV--	CARRIER	
1.X.4.1.1.2 	S	*	S	*	CLBB--	BATTLESHIP	
1.X.4.1.1.3 	S	*	S	*	CLCC--	CRUISER	
1.X.4.1.1.4 	S	*	S	*	CLDD--	DESTROYER	
1.X.4.1.1.5 	S	*	S	*	CLFF--	FRIGATE/CORVETTE	
1.X.4.1.2 	S	*	S	*	CA----	AMPHIBIOUS WARFARE SHIP	
1.X.4.1.2.1 	S	*	S	*	CALA--	ASSAULT VESSEL	
1.X.4.1.2.2 	S	*	S	*	CALS--	LANDING SHIP	
1.X.4.1.2.3 	S	*	S	*	CALC--	LANDING CRAFT	
1.X.4.1.3 	S	*	S	*	CM----	MINE WARFARE VESSEL	
1.X.4.1.3.1 	S	*	S	*	CMML--	MINELAYER	
1.X.4.1.3.2 	S	*	S	*	CMMS--	MINESWEEPER	
1.X.4.1.3.3 	S	*	S	*	CMMH--	MINEHUNTER	
1.X.4.1.3.4 	S	*	S	*	CMMA--	MCM SUPPORT	
1.X.4.1.3.5 	S	*	S	*	CMMD--	MCM DRONE	
1.X.4.1.4 	S	*	S	*	CP----	PATROL	
1.X.4.1.4.1 	S	*	S	*	CPSB--	ANTI SUBMARINE WARFARE	
1.X.4.1.4.2 	S	*	S	*	CPSU--	ANTI SURFACE WARFARE	
1.X.4.1.5 	S	*	S	*	CH----	HOVERCRAFT	
1.X.4.1.6 	S	*	S	*	G-----	NAVY GROUP	
1.X.4.1.6.1 	S	*	S	*	GT----	NAVY TASK FORCE	
1.X.4.1.6.2 	S	*	S	*	GG----	NAVY TASK GROUP	
1.X.4.1.6.3 	S	*	S	*	GU----	NAVY TASK UNIT	
1.X.4.1.6.4 	S	*	S	*	GE----	NAVY TASK ELEMENT	
1.X.4.1.6.5 	S	*	S	*	GC----	CONVOY	
1.X.4.2 	S	*	S	*	N-----	NONCOMBATANT	
1.X.4.2.1 	S	*	S	*	NR----	UNDERWAY REPLENISHMENT	
1.X.4.2.1.1 	S	*	S	*	NRA---	UNDERWAY REPLENISHMENT, AMMO	
1.X.4.2.1.2 	S	*	S	*	NRO---	UNDERWAY REPLENISHMENT, OIL	
1.X.4.2.2 	S	*	S	*	NFT---	FLEET SUPPORT, TUG, OCEAN GOING	
1.X.4.2.3 	S	*	S	*	NI----	INTELLIGENCE	
1.X.4.2.4 	S	*	S	*	NM----	HOSPITAL SHIP	
1.X.4.2.5 	S	*	S	*	NR----	REPAIR SHIP	
1.X.4.2.6 	S	*	S	*	NTS---	SUBMARINE TENDER	
1.X.4.2.7 	S	*	S	*	NH----	HOVERCRAFT	
1.X.4.2.8 	S	*	S	*	NS----	SERVICE & SUPPORT HARBOUR	
1.X.4.3 	S	*	S	*	X-----	NON MILITARY	N/A	
1.X.4.3.1 	S	*	S	*	XM----	MERCHANT	
1.X.4.3.1.1 	S	*	S	*	XMC---	CARGO	
1.X.4.3.1.2 	S	*	S	*	XME---	ROLL ON-ROLL OFF	
1.X.4.3.1.3 	S	*	S	*	XMO---	OILER/TANKER	
1.X.4.3.1.4 	S	*	S	*	XMT---	TUG	
1.X.4.3.1.5 	S	*	S	*	XMF---	FERRY	
1.X.4.3.1.6 	S	*	S	*	XMP---	PASSENGER	
1.X.4.3.1.7 	S	*	S	*	XMH---	HAZARDOUS MATERIALS	
1.X.4.3.1.8 	S	*	S	*	XMD---	DREDGE	
1.X.4.3.2 	S	*	S	*	XF----	FISHING	
1.X.4.3.2.1 	S	*	S	*	XFDF--	DRIFTER	
1.X.4.3.2.2 	S	*	S	*	XFDR--	DREDGE	
1.X.4.3.2.3 	S	*	S	*	XFTR--	TRAWLER	
1.X.4.3.3 	S	*	S	*	XR----	LEISURE CRAFT	
1.X.4.3.4 	S	*	S	*	XL----	LAW ENFORCEMENT VESSEL	
1.X.4.3.5 	S	*	S	*	XH----	HOVERCRAFT	
1.X.4.4 	S	*	S	*	O-----	OWN TRACK	
1.X.4.5 	S	*	S	*	E-----	EMERGENCY	
1.X.4.5.1 	S	*	S	*	ED----	DITCHED AIRCRAFT	
1.X.4.5.2 	S	*	S	*	EP----	PERSON IN WATER	
1.X.4.5.3 	S	*	S	*	EV----	DISTRESSED VESSEL	
1.X.4.6 	S	*	S	*	Z-----	HAZARD	N/A	
1.X.4.6.1 	S	*	S	*	ZM----	SEA MINELIKE	
1.X.4.6.2 	S	*	S	*	ZN----	NAVIGATIONAL	
1.X.4.6.3 	S	*	S	*	ZI----	ICEBERG
