hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
1.X.6 	S	*	F	*	------	SPECIAL OPERATIONS FORCE (SOF) UNIT	
1.X.6.1 	S	*	F	*	A-----	SOF UNIT AVIATION	N/A	
1.X.6.1.1 	S	*	F	*	AF----	SOF UNIT FIXED WING	
1.X.6.1.1.1 	S	*	F	*	AFA---	SOF UNIT ATTACK	
1.X.6.1.1.2 	S	*	F	*	AFK---	SOF UNIT REFUEL	
1.X.6.1.1.3 	S	*	F	*	AFU---	SOF UNIT UTILITY	
1.X.6.1.1.3.1 	S	*	F	*	AFUL--	SOF UNIT UTILITY (LIGHT)	
1.X.6.1.1.3.2 	S	*	F	*	AFUM--	SOF UNIT UTILITY (MEDIUM)	
1.X.6.1.1.3.3 	S	*	F	*	AFUH--	SOF UNIT UTILITY (HEAVY)	
1.X.6.1.2 	S	*	F	*	AV----	SOF UNIT VSTOL	
1.X.6.1.3 	S	*	F	*	AH----	SOF UNIT ROTARY WING	
1.X.6.1.3.1 	S	*	F	*	AHH---	SOF UNIT COMBAT SEARCH AND RESCUE	
1.X.6.1.3.2 	S	*	F	*	AHA---	SOF UNIT ATTACK	
1.X.6.1.3.3 	S	*	F	*	AHU---	SOF UNIT UTILITY	
1.X.6.1.3.3.1 	S	*	F	*	AHUL--	SOF UNIT UTILITY (LIGHT)	
1.X.6.1.3.3.2 	S	*	F	*	AHUM--	SOF UNIT UTILITY (MEDIUM)	
1.X.6.1.3.3.3 	S	*	F	*	AHUH--	SOF UNIT UTILITY (HEAVY)	
1.X.6.2 	S	*	F	*	SN----	SOF UNIT SOF UNIT NAVAL	
1.X.6.2.1 	S	*	F	*	SNS---	SOF UNIT SEAL	
1.X.6.2.2 	S	*	F	*	SNU---	SOF UNIT UNDERWATER DEMOLITION TEAM	
1.X.6.2.3 	S	*	F	*	SNB---	SOF UNIT SPECIAL BOAT	
1.X.6.2.4 	S	*	F	*	SNN---	SOF UNIT SPECIAL SSNR	
1.X.6.3 	S	*	F	*	G-----	SOF UNIT GROUND	
1.X.6.3.1 	S	*	F	*	GS----	SOF UNIT SPECIAL FORCES	
1.X.6.3.2 	S	*	F	*	GSR---	SOF UNIT RANGER	
1.X.6.3.3 	S	*	F	*	GSP---	SOF UNIT PSYCHOLOGICAL OPERATIONS (PSYOPS)	
1.X.6.3.3.1 	S	*	F	*	GSPA--	SOF UNIT FIXED AVIATION	
1.X.6.3.4 	S	*	F	*	GCA---	SOF UNIT CIVIL AFFAIRS	
1.X.6.4 	S	*	F	*	GB----	SOF UNIT SUPPORT
