hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
1.X.5 	S	*	U	*	------	SUBSURFACE TRACK	
1.X.5.1 	S	*	U	*	S-----	SUBMARINE	
1.X.5.1.1 	S	*	U	*	SN----	NUCLEAR PROPULSION	
1.X.5.1.2 	S	*	U	*	SC----	CONVENTIONAL PROPULSION	
1.X.5.1.3 	S	*	U	*	SO----	OTHER SUBMERSIBLE	
1.X.5.2 	S	*	U	*	W-----	UNDERWATER WEAPON	
1.X.5.2.1 	S	*	U	*	WT----	TORPEDO	
1.X.5.2.2 	S	*	U	*	WM----	SEA MINE	
1.X.5.2.2.1 	S	*	U	*	WMD---	SEA MINE DEALT	
1.X.5.2.2.2 	S	*	U	*	WMG---	SEA MINE (GROUND)	
1.X.5.2.2.2.1 	S	*	U	*	WMGD--	SEA MINE (GROUND) DEALT	
1.X.5.2.2.3 	S	*	U	*	WMM---	SEA MINE (MOORED)	
1.X.5.2.2.3.1 	S	*	U	*	WMMD--	SEA MINE (MOORED DEALT	
1.X.5.2.2.4 	S	*	U	*	WMF---	SEA MINE (FLOATING)	
1.X.5.2.2.4.1 	S	*	U	*	WMFD--	SEA MINE (FLOATING) DEALT	
1.X.5.2.2.5 	S	*	U	*	WMO---	SEA MINE (IN OTHER POSITION)	
1.X.5.2.2.5.1 	S	*	U	*	WMOD--	SEA MINE (IN OTHER POSITION) DEALT	
1.X.5.2.3 	S	*	U	*	WV----	DRONE (UUV)	
1.X.5.3 	S	*	U	*	WD----	UNDERWATER DECOY	
1.X.5.3.1 	S	*	U	*	WDM---	SEA MINE DECOY	
1.X.5.4 	S	*	U	*	N-----	NON-SUBMARINE	
1.X.5.4.1 	S	*	U	*	ND----	DIVER	
1.X.5.4.2 	S	*	U	*	NB----	BOTTOM RETURN/NOMBO	N/A	
1.X.5.4.2.1 	S	*	U	*	NBS---	SEABED INSTALLATION/MANMADE	
1.X.5.4.2.2 	S	*	U	*	NBR---	SEABED ROCK/STONE, OBSTACLE, OTHER	
1.X.5.4.2.3 	S	*	U	*	NBW---	WRECK	
1.X.5.4.3 	S	*	U	*	NM----	MARINE LIFE	
1.X.5.4.4 	S	*	U	*	NA----	SEA ANOMALY	
