Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks
Command and Control Lines				110000	For training or hierarchical purposes only
	Boundary		Line	110100	For training or hierarchical purposes only 
		Lateral	Line	110101	
		Forward	Line	110102	
		Rear	Line	110103	
	Light Line		Line	110200	
	Engineer Work Line		Line	110300	
Command and Control Areas				120000	For training or hierarchical purposes only
	Area of Operations		Area	120100	
	Named Area of Interest		Area	120200	
	Targeted Area of Interest		Area	120300	
	Airfield Zone		Area	120400	
	Base Camp		Area	120500	
	Guerrilla Base		Area	120600	
Command and Control Points				130000	For training or hierarchical purposes only 
	Unspecified Control Point		Point	130100	
	Amnesty Point		Point	130200	
	Checkpoint		Point	130300	
	Centre of Main Effort		Point	130400	
	Contact Point		Point	130500	
	Coordinating Point		Point	130600	
	Decision Point		Point	130700	
	Distress Call		Point	130800	
	Entry Control Point		Point	130900	
	Fly-To-Point		Point	131000	For training or hierarchical purposes only 
		Sonobuoy	Point	131001	
		Weapon	Point	131002	
		Normal	Point	131003	
	Linkup Point		Point	131100	
	Passage Point		Point	131200	
	Point of Interest		Point	131300	
		Point of Interest - Launch Event	Point	131301	
	Rally Point		Point	131400	
	Release Point		Point	131500	
	Start Point		Point	131600	
	Special Point		Point	131700	
	Waypoint		Point	131800	
	Airfield		Point	131900	
Manoeuvre Lines			Line	140000	For training or hierarchical purposes only 
	Forward Line of Troops		Line	140100	
		Friendly Present	Line	140101	No associated icon 
		Friendly Planned or on Order	Line	140102	No associated icon 
		Enemy Known	Line	140103	No associated icon 
		Enemy Suspected or Templated	Line	140104	No associated icon 
	Line of Contact		Line	140200	
	Phase Line		Line	140300	
	Forward Edge of the Battle Area		Line	140400	
		Proposed or On Order	Line	140401	
	Principle Direction of Fire		Line	140500	
	Direction of Attack		Line	140600	For training or hierarchical purposes only 
		Friendly Aviation	Line	140601	
		Friendly Direction of Main Attack	Line	140602	
		Friendly Direction of Supporting Attack	Line	140603	
		Friendly Planned or On Order	Line	140604	
		Feint	Line	140605	
		Enemy Confirmed	Line	140606	
		Enemy Templated or Suspected	Line	140607	
	Final Coordination Line		Line	140700	
	Infiltration Lane		Line	140800	
	Limit of Advance		Line	140900	
	Line of Departure		Line	141000	
	Line of Departure/Line of Contact		Line	141100	
	Probable Line of Deployment		Line	141200	
	Airhead Line		Line	141300	
	Bridgehead Line (BL)		Line	141400	
	Holding Line (HL)		Line	141500	
	Release Line		Line	141600	
	Ambush		Line	141700	
Manoeuvre Areas				150000	For training or hierarchical purposes only 
	Area		Area	150100	
		Friendly	Area	150101	
		Friendly Planned or On Order	Area	150102	
		Enemy Known or Confirmed	Area	150103	
		Enemy Suspected	Area	150104	
	Assembly Area (AA)		Area	150200	
	Occupied Assembly Area		Area	150300	
		Offset Unit	Area	150301	
		Offset Units	Area	150302	
				150400	Reserved for future use 
	Action Area		Area	150500	For training or hierarchical purposes only 
		Joint Tactical Action Area (JTAA)	Area	150501	
		Submarine Action Area (SAA)	Area	150502	
		Submarine-Generated Action Area (SGAA)	Area	150503	
	Drop Zone (DZ)		Area	150600	
	Extraction Zone (EZ)		Area	150700	
	Landing Zone (LZ)		Area	150800	
	Pick-Up Zone (PZ)		Area	150900	
	Fortified Area		Area	151000	
	Limited Access Area		Area	151100	
	Battle Position		Area	151200	
		Prepared (P) but not Occupied	Area	151202	
		Strong Point	Area	151203	
		Contain	Area	151204	
		Retain	Area	151205	
	Engagement Area (EA)		Area	151300	
	Axis of Advance			151400	For training or hierarchical purposes only 
		Friendly Airborne/Aviation	Line	151401	
		Attack Helicopter	Line	151402	
		Main Attack	Line	151403	
		Supporting Attack	Line	151404	
		Supporting Attack Planned or on Order	Line	151405	
		Feint	Line	151406	
		Enemy Confirmed	Line	151407	
		Enemy Templated or Suspected	Line	151408	
	Assault Position		Area	151500	
	Attack Position		Area	151600	
	Objective		Area	151700	
	Encirclement		Area	151800	
		Friendly	Area	151801	
		Enemy	Area	151802	
	Penetration Box		Area	151900	
	Attack by Fire Position		Area	152000	
	Support by Fire Position		Area	152100	
	Search Area/Reconnaissance Area		Area	152200	
Manoeuvre Points				160000	For training or hierarchical purposes only
	Observation Post/Outpost (unspecified)		Point	160100	
	Observation Post/Outpost (specified)		Point	160200	
		Reconnaissance Outpost	Point	160201	
		Forward Observer Outpost	Point	160202	
		CBRN Observation Outpost	Point	160203	
		Sensor Outpost /Listening Post	Point	160204	
		Combat Outpost	Point	160205	
	Target Reference Point		Point	160300	
	Point of Departure		Point	160400	
Airspace Control (Corridors) Areas				170000	For training or hierarchical purposes only 
	Air Corridor		Area	170100	
		Air Corridor With Multiple Segments	Area	170101	
	Low Level Transit Route		Area	170200	
	Temporary Minimum-Risk Route		Area	170300	
	Safe Lane		Area	170400	
	Standard Use Army Aircraft Flight Route		Area	170500	
	Transit Corridor		Area	170600	
	Unmanned Aircraft (UA) Route Special Corridor		Area	170700	
	Base Defence Zone		Area	170800	
	High-Density Airspace Control Zone		Area	170900	
	Restricted Operations Zone		Area	171000	
	Air-to-Air Restricted Operating Zone		Area	171100	
	Unmanned Aircraft Restricted Operating Zone		Area	171200	
	Weapon Engagement Zone		Area	171300	
	Fighter Engagement Zone		Area	171400	
	Joint Engagement Zone		Area	171500	
	Missile Engagement Zone		Area	171600	
	Low Altitude Missile Engagement Zone		Area	171700	
	High Altitude Missile Engagement Zone		Area	171800	
	Short Range Air Defence Engagement Zone		Area	171900	
	Weapons Free Zone		Area	172000	
Airspace Control Points				180000	
	Air Control Point		Point	180100	
	Communications Checkpoint		Point	180200	
	Downed Aircraft Pick-up Point		Point	180300	
	Pop-up Point		Point	180400	
	Air Control Rendezvous		Point	180500	
	Tactical Air Navigation (TACAN)		Point	180600	
	Combat Air Patrol (CAP)Station		Point	180700	
	Airborne Early Warning (AEW) Station		Point	180800	
	ASW (Helo and F/W) Station		Point	180900	
	Strike Initial Point		Point	181000	
	Replenishment Station		Point	181100	
	Tanking		Point	181200	
	Antisubmarine Warfare, Rotary Wing		Point	181300	
	Surface Combat Air Patrol (SUCAP) - Fixed Wing		Point	181400	
	SUCAP - Rotary Wing		Point	181500	
	MW - Fixed Wing		Point	181600	MIL-STD-2525 uses the icon MIW 
	MW - Rotary Wing		Point	181700	MIL-STD-2525 uses the icon MIW 
	Tomcat		Point	181800	
	Rescue		Point	181900	
	Unmanned Aerial System (UAS/UA)		Point	182000	
	Vertical Take-off and Landing (VTOL) Tactical Unmanned Aircraft (VTUA)		Point	182100	
	Orbit		Point	182200	
	Orbit - Figure Eight		Point	182300	
	Orbit - Race Track		Point	182400	
	Orbit - Random Closed		Point	182500	
Airspace Control Lines				190000	For training or hierarchical purposes
	Identification Friend or Foe Off Line		Line	190100	
	Identification Friend or Foe On Line		Line	190200	
Maritime Control Areas				200000	For training or hierarchical purposes
	Launch Area			200100	For training or hierarchical purposes
		Ellipse/Circle	Area	200101	
	Defended Area			200200	For training or hierarchical purposes
		Ellipse/Circle	Area	200201	
		Rectangle	Area	200202	
	No Attack (NOTACK) Zone		Area	200300	
	Ship Area of Interest		Point	200400	
		Ellipse/Circle	Area	200401	
		Rectangle	Area	200402	
	Active Manoeuvre Area		Point	200500	
	Cued Acquisition Doctrine		Point	200600	
	Radar Search Doctrine		Point	200700	
Maritime Control Points				210000	For training or hierarchical purposes
	Plan Ship		Point	210100	
	Aim Point		Point	210200	
	Defended Asset		Point	210300	
	Drop Point		Point	210400	
	Entry Point		Point	210500	
	Air  Detonation		Point	210600	
	Ground Zero		Point	210700	
	Impact Point		Point	210800	
	Predicted Impact Point		Point	210900	
	Launched Torpedo		Point	211000	
	Missile Detection Point		Point	211100	
	Acoustic Countermeasure (Decoy)		Point	211200	
	Electronic Countermeasures (ECM) Decoy		Point	211300	
	Brief Contact		Point	211400	
	Datum Lost Contact		Point	211500	
	BT Buoy Drop		Point	211600	
	Reported Bottomed Sub		Point	211700	
	Moving Haven		Point	211800	
	Screen Centre		Point	211900	
	Lost Contact		Point	212000	
	Sinker		Point	212100	
	Trial Track		Point	212200	
	Acoustic Fix		Point	212300	
	Electromagnetic Fix		Point	212400	
	Electromagnetic - Magnetic Anomaly Detection (MAD)		Point	212500	
	Optical Fix		Point	212600	
	Formation		Point	212700	
